"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"192","726",32320,39460,-0.153608592185973,0.91676176631886,"aug",0,1,1790.50211316662,34110.5021131666,5349.49788683339
"193","727",32400,40000,-0.0815280227319634,1.83999713555034,"aug",0,1,1879.34502729181,34279.3450272918,5720.65497270819
"194","728",33680,38870,1.07176108853221,-0.0919583593229524,"aug",0,1,1791.51893876791,35471.5189387679,3398.48106123209
"195","737",32420,39140,-0.0635078803684579,0.369659325292795,"aug",0,1,1770.26467418181,34190.2646741818,4949.73532581819
"196","738",35850,40000,3.02694653497226,1.83999713555034,"aug",0,1,1830.00000656236,37680.0000065624,2319.99999343764
"197","739",32250,38320,-0.216679090458232,-1.0322906798365,"aug",0,1,1486.04370809581,33736.0437080958,4583.95629190419
"198","740",32770,39950,0.251844610992841,1.75451237914003,"aug",0,1,1932.56287198316,34702.5628719832,5247.43712801684
"199","749",32300,38510,-0.171628734549478,-0.707448605477274,"aug",0,1,1562.04312527885,33862.0431252788,4647.95687472115
"200","750",33280,40000,0.711358241262158,1.83999713555034,"aug",0,1,1994.54377807268,35274.5437780727,4725.45622192732
"201","751",32170,38740,-0.288759659912242,-0.314218725989783,"aug",0,1,1575.10540946374,33745.1054094637,4994.89459053626
"202","752",32010,39810,-0.432920798820267,1.51515506119112,"aug",0,1,1812.66897663888,33822.6689766389,5987.33102336113
"203","761",32640,39350,0.134713685630071,0.728695302216151,"aug",0,1,1791.46760782328,34431.4676078233,4918.53239217672
"204","762",33340,38410,0.765418668352668,-0.878418118297922,"aug",0,1,1725.69720372996,35065.69720373,3344.30279627004
"205","763",32920,39370,0.38699567871911,0.762889204780274,"aug",0,1,1809.23268343054,34729.2326834305,4640.76731656946
"206","764",32130,38650,-0.324799944639246,-0.46809128752837,"aug",0,1,1566.69994097774,33696.6999409777,4953.30005902225
"207","773",32330,39370,-0.144598521004223,0.762889204780274,"aug",0,1,1788.93572053082,34118.9357205308,5251.06427946917
"208","774",32360,39950,-0.117568307458968,1.75451237914003,"aug",0,1,1844.09917536206,34204.0991753621,5745.90082463795
"209","775",33620,40000,1.0177006614417,1.83999713555034,"aug",0,1,2019.48816384194,35639.4881638419,4360.51183615806
"210","776",33180,39420,0.621257529444643,0.848373961190604,"aug",0,1,1825.1693364357,35005.1693364357,4414.8306635643
"211","78",33260,38400,0.693338098898652,-0.895515069579983,"aug",0,1,1685.1139949813,34945.1139949813,3454.8860050187
"212","785",33710,40000,1.09879130207747,1.83999713555034,"aug",0,1,2018.94281163496,35728.942811635,4271.05718836505
"213","786",32420,38990,-0.0635078803684579,0.11320505606183,"aug",0,1,1762.09015738271,34182.0901573827,4807.90984261729
"214","787",34880,40000,2.15296963034238,1.83999713555034,"aug",0,1,1830.11959075703,36710.119590757,3289.88040924296
"215","788",31700,38240,-0.712233005454557,-1.16906629009301,"aug",0,1,1370.75356133542,33070.7535613354,5169.24643866458
"216","79",32170,37670,-0.288759659912242,-2.14359251317069,"aug",0,1,1169.32477474421,33339.3247747442,4330.67522525579
"217","797",32850,39180,0.32392518044685,0.438047130421052,"aug",0,1,1789.92871974384,34639.9287197438,4540.07128025616
"218","798",32400,39790,-0.0815280227319634,1.48096115862699,"aug",0,1,1825.46851001325,34225.4685100132,5564.53148998675
"219","799",32470,38770,-0.0184575244597037,-0.262927872143588,"aug",0,1,1689.44130959644,34159.4413095964,4610.55869040356
"220","8",31420,38720,-0.964514998543593,-0.348412628553918,"aug",0,1,1490.14774686365,32910.1477468637,5809.85225313635
"221","80",32700,38250,0.188774112720581,-1.15196933881095,"aug",0,1,1544.34600692453,34244.3460069245,4005.65399307547
"222","800",32580,38550,0.0806532585395607,-0.639060800349018,"aug",0,1,1575.07485240713,34155.0748524071,4394.92514759288
"223","809",32580,39760,0.0806532585395607,1.42967030478079,"aug",0,1,1828.06750119575,34408.0675011958,5351.93249880425
"224","810",33090,39100,0.540166888808884,0.301271520164538,"aug",0,1,1790.436995533,34880.436995533,4219.563004467
"225","811",32450,40000,-0.0364776668232028,1.83999713555034,"aug",0,1,1893.86988167134,34343.8698816713,5656.13011832866
"226","812",33490,38800,0.900569736078937,-0.211637018297405,"aug",0,1,1787.74943710072,35277.7494371007,3522.25056289928
"227","821",32320,38380,-0.153608592185973,-0.929708972144105,"aug",0,1,1523.24839134613,33843.2483913461,4536.75160865387
"228","822",32790,39240,0.26986475335634,0.540628838113443,"aug",0,1,1790.4572814331,34580.4572814331,4659.5427185669
"229","823",33070,38700,0.522146746445379,-0.38260653111804,"aug",0,1,1762.52046926072,34832.5204692607,3867.47953073928
"230","824",32080,38470,-0.369850300548007,-0.775836410605531,"aug",0,1,1512.56270562497,33592.562705625,4877.43729437503
"231","833",31680,37940,-0.73025314781806,-1.68197482855495,"aug",0,1,1180.45926155798,32860.459261558,5079.54073844202
